year,state,factor,value,democrat,republican,other,diff,,
2008,California,income,$100k or more,0.57,0.42,0.01,0.15,,
2008,Texas,gender,male,0.39,0.59,0.02,-0.2,,
2008,Texas,gender,female,0.47,0.52,0.01,-0.05,,
2008,Texas,age,18-29,0.54,0.45,0.01,0.09,,
2008,Texas,age,30-44,0.46,0.52,0.02,-0.06,,
2008,Texas,age,45-64,0.41,0.58,0.01,-0.17,,
2008,Texas,age,65 and older,0.32,0.66,0.02,-0.34,,
2008,Texas,education,high school or less,0.44,0.56,0,-0.12,,
2008,Texas,education,some college,0.48,0.5,0.02,-0.02,,
2008,Texas,education,college graduate,0.38,0.6,0.02,-0.22,,
2008,Texas,education,postgraduate,0.36,0.61,0.03,-0.25,,
2008,Texas,income,under $50k,0.56,0.42,0.02,0.14,,
2008,Texas,income,$50k-$100k,0.38,0.61,0.01,-0.23,,
2008,Texas,income,$100k or more,0.34,0.65,0.01,-0.31,,
2012,National,gender,male,0.45,0.52,0.03,-0.07,,
2012,National,gender,female,0.55,0.44,0.01,0.11,,
2012,National,age,18-29,0.6,0.37,0.03,0.23,,
2012,National,age,30-44,0.52,0.45,0.03,0.07,,
2012,National,age,45-64,0.47,0.51,0.02,-0.04,,
2012,National,age,65 and older,0.44,0.56,0,-0.12,,
2012,National,education,high school or less,0.51,0.48,0.01,0.03,,
2012,National,education,some college,0.49,0.48,0.03,0.01,,
2012,National,education,college graduate,0.47,0.51,0.02,-0.04,,
2012,National,education,postgraduate,0.55,0.42,0.03,0.13,,
2012,National,income,under $50k,0.6,0.38,0.02,0.22,,
2012,National,income,$50k-$100k,0.46,0.52,0.02,-0.06,,
2012,National,income,$100k or more,0.44,0.54,0.02,-0.1,,
2012,Arizona,gender,male,0.4,0.57,0.03,-0.17,,
2012,Arizona,gender,female,0.46,0.53,0.01,-0.07,,
2012,Arizona,age,18-29,0.63,0.36,0.01,0.27,,
2012,Arizona,age,30-44,0.37,0.59,0.04,-0.22,,
2012,Arizona,age,45-64,0.38,0.61,0.01,-0.23,,
2012,Arizona,age,65 and older,0.29,0.71,0,-0.42,,
2012,Arizona,education,high school or less,0.46,0.54,0,-0.08,,
2012,Arizona,education,some college,0.42,0.56,0.02,-0.14,,
2012,Arizona,education,college graduate,0.36,0.63,0.01,-0.27,,
2012,Arizona,education,postgraduate,0.54,0.42,0.04,0.12,,
2012,Arizona,income,under $50k,0.47,0.51,0.02,-0.04,,
2012,Arizona,income,$50k-$100k,0.41,0.57,0.02,-0.16,,
2012,Arizona,income,$100k or more,0.43,0.56,0.01,-0.13,,
2012,California,gender,male,0.54,0.43,0.03,0.11,,
2012,California,gender,female,0.64,0.34,0.02,0.3,,
2012,California,age,18-29,0.71,0.27,0.02,0.44,,
2012,California,age,30-44,0.6,0.36,0.04,0.24,,
2012,California,age,45-64,0.53,0.46,0.01,0.07,,
2012,California,age,65 and older,0.48,0.52,0,-0.04,,
2012,California,education,high school or less,0.56,0.43,0.01,0.13,,
2012,California,education,some college,0.59,0.39,0.02,0.2,,
2012,California,education,college graduate,0.55,0.42,0.03,0.13,,
2012,California,education,postgraduate,0.64,0.34,0.02,0.3,,
2012,California,income,under $50k,0.64,0.34,0.02,0.3,,
2012,California,income,$50k-$100k,0.59,0.39,0.02,0.2,,
2012,California,income,$100k or more,0.52,0.46,0.02,0.06,,
2012,Texas,gender,male,N/A,N/A,N/A,,,
2012,Texas,gender,female,N/A,N/A,N/A,,,
2012,Texas,age,18-29,N/A,N/A,N/A,,,
2012,Texas,age,30-44,N/A,N/A,N/A,,,
2012,Texas,age,45-64,N/A,N/A,N/A,,,
2012,Texas,age,65 and older,N/A,N/A,N/A,,,
2012,Texas,education,high school or less,N/A,N/A,N/A,,,
2012,Texas,education,some college,N/A,N/A,N/A,,,
2012,Texas,education,college graduate,N/A,N/A,N/A,,,
2012,Texas,education,postgraduate,N/A,N/A,N/A,,,
2012,Texas,income,under $50k,N/A,N/A,N/A,,,
2012,Texas,income,$50k-$100k,N/A,N/A,N/A,,,
2012,Texas,income,$100k or more,N/A,N/A,N/A,,,
2016,National,gender,male,0.41,0.52,0.07,-0.11,,
2016,National,gender,female,0.54,0.41,0.05,0.13,,
2016,National,age,18-29,0.55,0.36,0.09,0.19,,
2016,National,age,30-44,0.51,0.41,0.08,0.1,,
2016,National,age,45-64,0.44,0.52,0.04,-0.08,,
2016,National,age,65 and older,0.45,0.52,0.03,-0.07,,
2016,National,education,high school or less,0.46,0.51,0.03,-0.05,,
2016,National,education,some college,0.43,0.51,0.06,-0.08,,
2016,National,education,college graduate,0.49,0.44,0.07,0.05,,
2016,National,education,postgraduate,0.58,0.37,0.05,0.21,,
2016,National,income,under $50k,0.53,0.41,0.06,0.12,,
2016,National,income,$50k-$100k,0.46,0.49,0.05,-0.03,,
2016,National,income,$100k or more,0.47,0.47,0.06,0,,
2016,Arizona,gender,male,0.4,0.53,0.07,-0.13,,
2016,Arizona,gender,female,0.49,0.45,0.06,0.04,,
2016,Arizona,age,18-29,0.53,0.35,0.12,0.18,,
2016,Arizona,age,30-44,0.47,0.41,0.12,0.06,,
2016,Arizona,age,45-64,0.41,0.54,0.05,-0.13,,
2016,Arizona,age,65 and older,0.42,0.55,0.03,-0.13,,
2016,Arizona,education,high school or less,0.44,0.52,0.04,-0.08,,
2016,Arizona,education,some college,0.43,0.49,0.08,-0.06,,
2016,Arizona,education,college graduate,0.41,0.51,0.08,-0.1,,
2016,Arizona,education,postgraduate,0.58,0.37,0.03,0.21,,
2016,Arizona,income,under $50k,0.5,0.4,0.1,0.1,,
2016,Arizona,income,$50k-$100k,0.48,0.48,0.04,0,,
2016,Arizona,income,$100k or more,0.4,0.54,0.06,-0.14,,
2016,California,gender,male,0.57,0.36,0.07,0.21,,
2016,California,gender,female,0.66,0.3,0.04,0.36,,
2016,California,age,18-29,0.66,0.23,0.11,0.43,,
2016,California,age,30-44,0.67,0.27,0.06,0.4,,
2016,California,age,45-64,0.57,0.39,0.04,0.18,,
2016,California,age,65 and older,0.61,0.36,0.03,0.25,,
2016,California,education,high school or less,0.61,0.31,0.08,0.3,,
2016,California,education,some college,0.56,0.39,0.05,0.17,,
2016,California,education,college graduate,0.63,0.32,0.05,0.31,,
2016,California,education,postgraduate,0.67,0.27,0.06,0.4,,
2016,California,income,under $50k,0.71,0.24,0.05,0.47,,
2016,California,income,$50k-$100k,0.67,0.26,0.07,0.41,,
2016,California,income,$100k or more,0.57,0.4,0.03,0.17,,
2016,Texas,gender,male,0.4,0.53,0.07,-0.13,,
2016,Texas,gender,female,0.49,0.45,0.06,0.04,,
2016,Texas,age,18-29,0.55,0.36,0.09,0.19,,
2016,Texas,age,30-44,0.51,0.41,0.08,0.1,,
2016,Texas,age,45-64,0.44,0.52,0.04,-0.08,,
2016,Texas,age,65 and older,0.45,0.52,0.03,-0.07,,
2016,Texas,education,high school or less,0.46,0.51,0.03,-0.05,,
2016,Texas,education,some college,0.43,0.51,0.06,-0.08,,
2016,Texas,education,college graduate,0.49,0.44,0.07,0.05,,
2016,Texas,education,postgraduate,0.58,0.37,0.05,0.21,,
2016,Texas,income,under $50k,0.5,0.44,0.06,0.06,,
2016,Texas,income,$50k-$100k,0.46,0.49,0.05,-0.03,,
2016,Texas,income,$100k or more,0.41,0.53,0.06,-0.12,,
2008,Pennsylvania,gender,male,0.51,0.48,0.01,0.03,51,48
2008,Pennsylvania,gender,female,0.59,0.41,0,0.18,59,41
2008,Pennsylvania,age,18-29,0.65,0.35,0,0.3,65,35
2008,Pennsylvania,age,30-44,0.51,0.47,0.02,0.04,51,47
2008,Pennsylvania,age,45-64,0.55,0.43,0.02,0.12,55,43
2008,Pennsylvania,age,65 and older,0.49,0.5,0.01,-0.01,49,50
2008,Pennsylvania,education,high school or less,0.52,0.47,0.01,0.05,52,47
2008,Pennsylvania,education,some college,0.53,0.46,0.01,0.07,53,46
2008,Pennsylvania,education,college graduate,0.52,0.47,0.01,0.05,52,47
2008,Pennsylvania,education,postgraduate,0.39,0.6,0.01,-0.21,39,60
2008,Pennsylvania,income,under $50k,0.62,0.37,0.01,0.25,62,37
2008,Pennsylvania,income,$50k-$100k,0.52,0.47,0.01,0.05,52,47
2008,Pennsylvania,income,$100k or more,0.52,0.47,0.01,0.05,52,47
2012,Pennsylvania,gender,male,0.48,0.51,0.01,-0.03,48,51
2012,Pennsylvania,gender,female,0.56,0.43,0.01,0.13,56,43
2012,Pennsylvania,age,18-29,0.63,0.35,0.02,0.28,63,35
2012,Pennsylvania,age,30-44,0.55,0.43,0.02,0.12,55,43
2012,Pennsylvania,age,45-64,0.48,0.51,0.01,-0.03,48,51
2012,Pennsylvania,age,65 and older,0.43,0.47,0.1,-0.04,43,47
2012,Pennsylvania,education,high school or less,0.6,0.39,0.01,0.21,60,39
2012,Pennsylvania,education,some college,0.51,0.47,0.02,0.04,51,47
2012,Pennsylvania,education,college graduate,0.41,0.57,0.02,-0.16,41,57
2012,Pennsylvania,education,postgraduate,0.53,0.45,0.02,0.08,53,45
2012,Pennsylvania,income,under $50k,0.67,0.31,0.02,0.36,67,31
2012,Pennsylvania,income,$50k-$100k,0.41,0.58,0.01,-0.17,41,58
2012,Pennsylvania,income,$100k or more,0.45,0.54,0.01,-0.09,45,54
2016,Pennsylvania,gender,male,0.4,0.57,0.03,-0.17,40,57
2016,Pennsylvania,gender,female,0.55,0.42,0.03,0.13,55,42
2016,Pennsylvania,age,18-29,0.43,0.52,0.05,-0.09,43,52
2016,Pennsylvania,age,30-44,0.53,0.42,0.05,0.11,53,42
2016,Pennsylvania,age,45-64,0.45,0.52,0.03,-0.07,45,52
2016,Pennsylvania,age,65 and older,0.44,0.54,0.02,-0.1,44,54
2016,Pennsylvania,education,high school or less,0.43,0.56,0.01,-0.13,43,56
2016,Pennsylvania,education,some college,0.46,0.49,0.05,-0.03,46,49
2016,Pennsylvania,education,college graduate,0.46,0.5,0.04,-0.04,46,50
2016,Pennsylvania,education,postgraduate,0.59,0.37,0.04,0.22,59,37
2016,Pennsylvania,income,under $50k,0.54,0.42,0.04,0.12,54,42
2016,Pennsylvania,income,$50k-$100k,0.41,0.55,0.04,-0.14,41,55
2016,Pennsylvania,income,$100k or more,0.45,0.52,0.03,-0.07,45,52
