,year,state,question_id,question,opinion,category,total,democrat,republican,other
55,2008,AK,RACE,Vote by Race,0,asian,2,,,
56,2008,AK,RACE,Vote by Race,0,black,3,,,
57,2008,AK,RACE,Vote by Race,0,latino,6,,,
58,2008,AK,RACE,Vote by Race,0,other,11,52,46,2
59,2008,AK,RACE,Vote by Race,0,white,78,33,65,2
60,2008,AK,SEX,Vote by Sex,0,female,53,41,57,2
61,2008,AK,SEX,Vote by Sex,0,male,47,32,64,4
62,2008,AK,SEXBYRACE,Vote by Sex and Race,0,all other races,13,52,46,2
63,2008,AK,SEXBYRACE,Vote by Sex and Race,0,black men,2,,,
64,2008,AK,SEXBYRACE,Vote by Sex and Race,0,black women,1,,,
65,2008,AK,SEXBYRACE,Vote by Sex and Race,0,latino men,2,,,
66,2008,AK,SEXBYRACE,Vote by Sex and Race,0,latino women,3,,,
67,2008,AK,SEXBYRACE,Vote by Sex and Race,0,white men,37,27,69,4
68,2008,AK,SEXBYRACE,Vote by Sex and Race,0,white women,41,37,60,3
69,2008,AK,TIME08,When Did You Decide Who To Vote For?,0,Before That,55,38,61,1
70,2008,AK,TIME08,When Did You Decide Who To Vote For?,0,In October,15,32,64,4
71,2008,AK,TIME08,When Did You Decide Who To Vote For?,0,In September,18,38,59,3
72,2008,AK,TIME08,When Did You Decide Who To Vote For?,0,Last Three Days,2,,,
73,2008,AK,TIME08,When Did You Decide Who To Vote For?,0,Last Week,3,,,
74,2008,AK,TIME08,When Did You Decide Who To Vote For?,0,Today,5,,,
75,2008,AK,TIME3D08,When Did You Decide Who To Vote For?,0,Earlier Than That,91,37,61,2
76,2008,AK,TIME3D08,When Did You Decide Who To Vote For?,0,Today/Last Three Days,8,39,56,5
77,2008,AK,TIME4,When Did You Decide Who To Vote For?,0,Earlier in October,18,33,62,5
78,2008,AK,TIME4,When Did You Decide Who To Vote For?,0,Earlier Than That,55,38,61,1
79,2008,AK,TIME4,When Did You Decide Who To Vote For?,0,Sometime in September,18,38,59,3
80,2008,AK,TIME4,When Did You Decide Who To Vote For?,0,Within Last Week,8,39,56,5
81,2008,AK,TIMEWK08,When Did You Decide Who To Vote For?,0,Before That,88,37,61,2
82,2008,AK,TIMEWK08,When Did You Decide Who To Vote For?,0,Within the Last Week,11,39,56,5
83,2008,AK,WHTEVANG,White Evangelical/Born-Again?,0,No,74,46,52,2
84,2008,AK,WHTEVANG,White Evangelical/Born-Again?,0,Yes,26,14,84,2
85,2008,AL,AGE,Vote by Age,0,18-29,22,50,49,1
86,2008,AL,AGE,Vote by Age,0,30-44,29,41,56,3
87,2008,AL,AGE,Vote by Age,0,45-64,35,36,64,
88,2008,AL,AGE,Vote by Age,0,65 and older,13,22,78,
89,2008,AL,AGE65,Vote by Age,0,18-24,13,51,49,
90,2008,AL,AGE65,Vote by Age,0,25-29,9,49,48,3
91,2008,AL,AGE65,Vote by Age,0,30-39,18,43,56,1
92,2008,AL,AGE65,Vote by Age,0,40-49,23,36,63,1
93,2008,AL,AGE65,Vote by Age,0,50-64,24,38,62,
94,2008,AL,AGE65,Vote by Age,0,65 or over,13,22,78,
95,2008,AL,AGEBYRACE08,Vote by Age and Race,0,All Others,2,,,
96,2008,AL,AGEBYRACE08,Vote by Age and Race,0,Black 18-29,8,96,4,
97,2008,AL,AGEBYRACE08,Vote by Age and Race,0,Black 30-44,10,100,,
98,2008,AL,AGEBYRACE08,Vote by Age and Race,0,Black 45-64,10,96,4,
99,2008,AL,AGEBYRACE08,Vote by Age and Race,0,Black 65 and Older,2,,,
100,2008,AL,AGEBYRACE08,Vote by Age and Race,0,Latino 18-29,2,,,
101,2008,AL,AGEBYRACE08,Vote by Age and Race,0,Latino 30-44,0,,,
102,2008,AL,AGEBYRACE08,Vote by Age and Race,0,Latino 45-64,1,,,
103,2008,AL,AGEBYRACE08,Vote by Age and Race,0,Latino 65 and Older,0,,,
104,2008,AL,AGEBYRACE08,Vote by Age and Race,0,White 18-29,12,13,84,3
105,2008,AL,AGEBYRACE08,Vote by Age and Race,0,White 30-44,19,10,86,4
106,2008,AL,AGEBYRACE08,Vote by Age and Race,0,White 45-64,24,9,91,
107,2008,AL,AGEBYRACE08,Vote by Age and Race,0,White 65 and Older,11,,,
108,2008,AL,BUSH,How George W. Bush is Handling His Job,1,Approve,41,7,93,
109,2008,AL,BUSH,How George W. Bush is Handling His Job,1,Disapprove,58,61,38,1
110,2008,AL,BUSH4,How George W. Bush is Handling His Job,1,Somewhat Approve,30,3,97,
111,2008,AL,BUSH4,How George W. Bush is Handling His Job,1,Somewhat Disapprove,20,27,70,3
112,2008,AL,BUSH4,How George W. Bush is Handling His Job,1,Strongly Approve,11,,,
113,2008,AL,BUSH4,How George W. Bush is Handling His Job,1,Strongly Disapprove,38,79,21,
114,2008,AL,EDUC,Vote by Education,0,college graduate,23,41,57,2
115,2008,AL,EDUC,Vote by Education,0,h.s. graduate,24,41,58,1
116,2008,AL,EDUC,Vote by Education,0,no high school,5,,,
117,2008,AL,EDUC,Vote by Education,0,postgraduate,15,42,57,1
118,2008,AL,EDUC,Vote by Education,0,some college,33,33,66,1
119,2008,AL,ISSUE08,Most Important Issue,1,Economy,57,42,58,
120,2008,AL,ISSUE08,Most Important Issue,1,Energy Policy,10,,,
121,2008,AL,ISSUE08,Most Important Issue,1,Health Care,8,,,
122,2008,AL,ISSUE08,Most Important Issue,1,Iraq,11,52,47,1
123,2008,AL,ISSUE08,Most Important Issue,1,Terrorism,10,,,
124,2008,AL,NECWORR2,Are You Worried About Economic Conditions?,1,No,14,51,49,
125,2008,AL,NECWORR2,Are You Worried About Economic Conditions?,1,Yes,85,38,61,1
126,2008,AL,NECWORRY,Are You Worried About Economic Conditions?,1,Not Too Worried,9,,,
127,2008,AL,NECWORRY,Are You Worried About Economic Conditions?,1,Not Worried At All,5,,,
128,2008,AL,NECWORRY,Are You Worried About Economic Conditions?,1,Somewhat Worried,26,39,61,
129,2008,AL,NECWORRY,Are You Worried About Economic Conditions?,1,Very Worried,59,38,61,1
130,2008,AL,PARTY,Vote by Party ID,0,democrat,37,85,14,1
131,2008,AL,PARTY,Vote by Party ID,0,independent,18,33,64,3
132,2008,AL,PARTY,Vote by Party ID,0,republican,45,3,97,
133,2008,AL,PARTYWHITE,Vote by Race and Party ID,0,All Others,35,92,8,
134,2008,AL,PARTYWHITE,Vote by Race and Party ID,0,White Democrats,9,47,51,2
135,2008,AL,PARTYWHITE,Vote by Race and Party ID,0,White Independents,14,13,82,5
136,2008,AL,PARTYWHITE,Vote by Race and Party ID,0,White Republicans,43,1,98,1
137,2008,AL,PHIL3,Vote by Ideology,0,conservative,47,16,83,1
138,2008,AL,PHIL3,Vote by Ideology,0,liberal,12,77,20,3
139,2008,AL,PHIL3,Vote by Ideology,0,moderate,41,49,50,1
140,2008,AL,RACE,Vote by Race,0,asian,0,,,
141,2008,AL,RACE,Vote by Race,0,black,29,98,2,
142,2008,AL,RACE,Vote by Race,0,latino,4,,,
143,2008,AL,RACE,Vote by Race,0,other,1,,,
144,2008,AL,RACE,Vote by Race,0,white,65,10,88,2
145,2008,AL,SEX,Vote by Sex,0,female,54,42,58,
146,2008,AL,SEX,Vote by Sex,0,male,46,36,62,2
147,2008,AL,SEXBYRACE,Vote by Sex and Race,0,all other races,2,,,
148,2008,AL,SEXBYRACE,Vote by Sex and Race,0,black men,11,100,,
149,2008,AL,SEXBYRACE,Vote by Sex and Race,0,black women,18,96,4,
150,2008,AL,SEXBYRACE,Vote by Sex and Race,0,latino men,2,,,
151,2008,AL,SEXBYRACE,Vote by Sex and Race,0,latino women,2,,,
152,2008,AL,SEXBYRACE,Vote by Sex and Race,0,white men,32,9,88,3
153,2008,AL,SEXBYRACE,Vote by Sex and Race,0,white women,33,12,88,
154,2008,AL,TIME08,When Did You Decide Who To Vote For?,0,Before That,63,40,59,1
155,2008,AL,TIME08,When Did You Decide Who To Vote For?,0,In October,11,33,67,
156,2008,AL,TIME08,When Did You Decide Who To Vote For?,0,In September,14,44,56,
157,2008,AL,TIME08,When Did You Decide Who To Vote For?,0,Last Three Days,3,,,
158,2008,AL,TIME08,When Did You Decide Who To Vote For?,0,Last Week,3,,,
159,2008,AL,TIME08,When Did You Decide Who To Vote For?,0,Today,5,,,
160,2008,AL,TIME3D08,When Did You Decide Who To Vote For?,0,Earlier Than That,91,39,60,1
161,2008,AL,TIME3D08,When Did You Decide Who To Vote For?,0,Today/Last Three Days,8,,,
162,2008,AL,TIME4,When Did You Decide Who To Vote For?,0,Earlier in October,14,31,67,2
163,2008,AL,TIME4,When Did You Decide Who To Vote For?,0,Earlier Than That,63,40,59,1
164,2008,AL,TIME4,When Did You Decide Who To Vote For?,0,Sometime in September,14,44,56,
165,2008,AL,TIME4,When Did You Decide Who To Vote For?,0,Within Last Week,8,,,
166,2008,AL,TIMEWK08,When Did You Decide Who To Vote For?,0,Before That,88,40,60,
167,2008,AL,TIMEWK08,When Did You Decide Who To Vote For?,0,Within the Last Week,11,36,58,6
168,2008,AL,WHTEVANG,White Evangelical/Born-Again?,0,No,53,64,34,2
169,2008,AL,WHTEVANG,White Evangelical/Born-Again?,0,Yes,47,8,92,
170,2008,AR,AGE,Vote by Age,0,18-29,17,49,49,2
171,2008,AR,AGE,Vote by Age,0,30-44,27,39,60,1
172,2008,AR,AGE,Vote by Age,0,45-64,37,40,57,3
173,2008,AR,AGE,Vote by Age,0,65 and older,19,32,65,3
174,2008,AR,AGE65,Vote by Age,0,18-24,8,50,48,2
175,2008,AR,AGE65,Vote by Age,0,25-29,9,48,50,2
176,2008,AR,AGE65,Vote by Age,0,30-39,19,40,59,1
177,2008,AR,AGE65,Vote by Age,0,40-49,17,40,58,2
178,2008,AR,AGE65,Vote by Age,0,50-64,28,39,59,2
179,2008,AR,AGE65,Vote by Age,0,65 or over,19,32,65,3
180,2008,AR,AGEBYRACE08,Vote by Age and Race,0,All Others,2,,,
181,2008,AR,AGEBYRACE08,Vote by Age and Race,0,Black 18-29,3,,,
182,2008,AR,AGEBYRACE08,Vote by Age and Race,0,Black 30-44,4,,,
183,2008,AR,AGEBYRACE08,Vote by Age and Race,0,Black 45-64,4,,,
184,2008,AR,AGEBYRACE08,Vote by Age and Race,0,Black 65 and Older,2,,,
185,2008,AR,AGEBYRACE08,Vote by Age and Race,0,Latino 18-29,1,,,
186,2008,AR,AGEBYRACE08,Vote by Age and Race,0,Latino 30-44,1,,,
187,2008,AR,AGEBYRACE08,Vote by Age and Race,0,Latino 45-64,1,,,
188,2008,AR,AGEBYRACE08,Vote by Age and Race,0,Latino 65 and Older,0,,,
189,2008,AR,AGEBYRACE08,Vote by Age and Race,0,White 18-29,13,34,65,1
190,2008,AR,AGEBYRACE08,Vote by Age and Race,0,White 30-44,22,29,70,1
191,2008,AR,AGEBYRACE08,Vote by Age and Race,0,White 45-64,31,32,65,3
192,2008,AR,AGEBYRACE08,Vote by Age and Race,0,White 65 and Older,17,24,72,4
193,2008,AR,BUSH,How George W. Bush is Handling His Job,1,Approve,35,7,92,1
194,2008,AR,BUSH,How George W. Bush is Handling His Job,1,Disapprove,63,57,40,3
195,2008,AR,BUSH4,How George W. Bush is Handling His Job,1,Somewhat Approve,27,7,93,
196,2008,AR,BUSH4,How George W. Bush is Handling His Job,1,Somewhat Disapprove,21,22,76,2
197,2008,AR,BUSH4,How George W. Bush is Handling His Job,1,Strongly Approve,9,8,90,2
198,2008,AR,BUSH4,How George W. Bush is Handling His Job,1,Strongly Disapprove,42,74,22,4
199,2008,AR,EDUC,Vote by Education,0,college graduate,24,37,61,2
200,2008,AR,EDUC,Vote by Education,0,h.s. graduate,26,46,51,3
201,2008,AR,EDUC,Vote by Education,0,no high school,4,,,
202,2008,AR,EDUC,Vote by Education,0,postgraduate,13,36,62,2
203,2008,AR,EDUC,Vote by Education,0,some college,33,37,61,2
204,2008,AR,EDUCHS,Did You Attend College?,0,No,30,46,51,3
205,2008,AR,EDUCHS,Did You Attend College?,0,Yes,70,37,61,2
206,2008,AR,ISSUE08,Most Important Issue,1,Economy,54,42,56,2
207,2008,AR,ISSUE08,Most Important Issue,1,Energy Policy,10,37,61,2
208,2008,AR,ISSUE08,Most Important Issue,1,Health Care,10,51,48,1
209,2008,AR,ISSUE08,Most Important Issue,1,Iraq,12,47,52,1
210,2008,AR,ISSUE08,Most Important Issue,1,Terrorism,11,11,87,2
211,2008,AR,PARTY,Vote by Party ID,0,democrat,36,77,21,2
212,2008,AR,PARTY,Vote by Party ID,0,independent,31,30,67,3
213,2008,AR,PARTY,Vote by Party ID,0,republican,32,7,93,
214,2008,AR,PARTYWHITE,Vote by Race and Party ID,0,All Others,17,86,12,2
215,2008,AR,PARTYWHITE,Vote by Race and Party ID,0,White Democrats,26,68,28,4
216,2008,AR,PARTYWHITE,Vote by Race and Party ID,0,White Independents,27,23,74,3
217,2008,AR,PARTYWHITE,Vote by Race and Party ID,0,White Republicans,30,4,96,
218,2008,AR,PHIL3,Vote by Ideology,0,conservative,45,16,82,2
219,2008,AR,PHIL3,Vote by Ideology,0,liberal,14,76,20,4
220,2008,AR,PHIL3,Vote by Ideology,0,moderate,41,52,46,2
221,2008,AR,QLT08,Which Candidate Quality Mattered Most?,1,Can Bring Change,27,90,9,1
222,2008,AR,QLT08,Which Candidate Quality Mattered Most?,1,Cares About People,12,60,37,3
223,2008,AR,QLT08,Which Candidate Quality Mattered Most?,1,Experience,22,3,95,2
224,2008,AR,QLT08,Which Candidate Quality Mattered Most?,1,Shares My Values,34,17,81,2
225,2008,AR,RACE,Vote by Race,0,asian,1,,,
226,2008,AR,RACE,Vote by Race,0,black,12,95,5,
227,2008,AR,RACE,Vote by Race,0,latino,3,,,
228,2008,AR,RACE,Vote by Race,0,other,2,,,
229,2008,AR,RACE,Vote by Race,0,white,83,30,68,2
230,2008,AR,SEX,Vote by Sex,0,female,55,39,58,3
231,2008,AR,SEX,Vote by Sex,0,male,45,40,58,2
232,2008,AR,SEXBYRACE,Vote by Sex and Race,0,all other races,2,,,
233,2008,AR,SEXBYRACE,Vote by Sex and Race,0,black men,6,,,
234,2008,AR,SEXBYRACE,Vote by Sex and Race,0,black women,7,,,
235,2008,AR,SEXBYRACE,Vote by Sex and Race,0,latino men,1,,,
236,2008,AR,SEXBYRACE,Vote by Sex and Race,0,latino women,1,,,
237,2008,AR,SEXBYRACE,Vote by Sex and Race,0,white men,37,31,67,2
238,2008,AR,SEXBYRACE,Vote by Sex and Race,0,white women,45,30,68,2
239,2008,AR,TIME08,When Did You Decide Who To Vote For?,0,Before That,62,38,61,1
240,2008,AR,TIME08,When Did You Decide Who To Vote For?,0,In October,11,46,52,2
241,2008,AR,TIME08,When Did You Decide Who To Vote For?,0,In September,12,42,56,2
242,2008,AR,TIME08,When Did You Decide Who To Vote For?,0,Last Three Days,3,,,
243,2008,AR,TIME08,When Did You Decide Who To Vote For?,0,Last Week,5,,,
244,2008,AR,TIME08,When Did You Decide Who To Vote For?,0,Today,5,,,
245,2008,AR,TIME3D08,When Did You Decide Who To Vote For?,0,Earlier Than That,90,39,59,2
246,2008,AR,TIME3D08,When Did You Decide Who To Vote For?,0,Today/Last Three Days,8,45,46,9
247,2008,AR,TIME4,When Did You Decide Who To Vote For?,0,Earlier in October,16,43,54,3
248,2008,AR,TIME4,When Did You Decide Who To Vote For?,0,Earlier Than That,62,38,61,1
249,2008,AR,TIME4,When Did You Decide Who To Vote For?,0,Sometime in September,12,42,56,2
250,2008,AR,TIME4,When Did You Decide Who To Vote For?,0,Within Last Week,8,45,46,9
251,2008,AR,TIMEWK08,When Did You Decide Who To Vote For?,0,Before That,85,40,59,1
252,2008,AR,TIMEWK08,When Did You Decide Who To Vote For?,0,Within the Last Week,13,42,51,7
253,2008,AR,WHTEVANG,White Evangelical/Born-Again?,0,No,44,64,34,2
254,2008,AR,WHTEVANG,White Evangelical/Born-Again?,0,Yes,56,20,77,3
255,2008,AZ,AGE,Vote by Age,0,18-29,17,52,48,
256,2008,AZ,AGE,Vote by Age,0,30-44,28,46,51,3
257,2008,AZ,AGE,Vote by Age,0,45-64,36,42,56,2
258,2008,AZ,AGE,Vote by Age,0,65 and older,18,43,56,1
259,2008,AZ,AGE65,Vote by Age,0,18-24,9,60,40,
260,2008,AZ,AGE65,Vote by Age,0,25-29,8,,,
261,2008,AZ,AGE65,Vote by Age,0,30-39,19,48,49,3
262,2008,AZ,AGE65,Vote by Age,0,40-49,19,40,59,1
263,2008,AZ,AGE65,Vote by Age,0,50-64,27,44,54,2
264,2008,AZ,AGE65,Vote by Age,0,65 or over,18,43,56,1
265,2008,AZ,AGEBYRACE08,Vote by Age and Race,0,All Others,5,,,
266,2008,AZ,AGEBYRACE08,Vote by Age and Race,0,Black 18-29,1,,,
267,2008,AZ,AGEBYRACE08,Vote by Age and Race,0,Black 30-44,2,,,
268,2008,AZ,AGEBYRACE08,Vote by Age and Race,0,Black 45-64,1,,,
269,2008,AZ,AGEBYRACE08,Vote by Age and Race,0,Black 65 and Older,0,,,
270,2008,AZ,AGEBYRACE08,Vote by Age and Race,0,Latino 18-29,6,,,
271,2008,AZ,AGEBYRACE08,Vote by Age and Race,0,Latino 30-44,5,,,
272,2008,AZ,AGEBYRACE08,Vote by Age and Race,0,Latino 45-64,4,,,
273,2008,AZ,AGEBYRACE08,Vote by Age and Race,0,Latino 65 and Older,1,,,
274,2008,AZ,AGEBYRACE08,Vote by Age and Race,0,White 18-29,9,39,61,
275,2008,AZ,AGEBYRACE08,Vote by Age and Race,0,White 30-44,20,38,60,2
276,2008,AZ,AGEBYRACE08,Vote by Age and Race,0,White 45-64,29,41,58,1
277,2008,AZ,AGEBYRACE08,Vote by Age and Race,0,White 65 and Older,16,42,57,1
278,2008,AZ,BUSH,How George W. Bush is Handling His Job,1,Approve,37,8,91,1
279,2008,AZ,BUSH,How George W. Bush is Handling His Job,1,Disapprove,62,68,30,2
280,2008,AZ,BUSH4,How George W. Bush is Handling His Job,1,Somewhat Approve,25,9,90,1
281,2008,AZ,BUSH4,How George W. Bush is Handling His Job,1,Somewhat Disapprove,16,28,70,2
282,2008,AZ,BUSH4,How George W. Bush is Handling His Job,1,Strongly Approve,12,6,94,
283,2008,AZ,BUSH4,How George W. Bush is Handling His Job,1,Strongly Disapprove,45,83,16,1
284,2008,AZ,ISSUE08,Most Important Issue,1,Economy,61,49,50,1
285,2008,AZ,ISSUE08,Most Important Issue,1,Energy Policy,9,40,58,2
286,2008,AZ,ISSUE08,Most Important Issue,1,Health Care,8,,,
287,2008,AZ,ISSUE08,Most Important Issue,1,Iraq,9,70,29,1
288,2008,AZ,ISSUE08,Most Important Issue,1,Terrorism,11,7,92,1
289,2008,AZ,PARTY,Vote by Party ID,0,democrat,32,85,14,1
290,2008,AZ,PARTY,Vote by Party ID,0,independent,30,51,46,3
291,2008,AZ,PARTY,Vote by Party ID,0,republican,39,8,92,
292,2008,AZ,PARTYWHITE,Vote by Race and Party ID,0,All Others,24,61,36,3
293,2008,AZ,PARTYWHITE,Vote by Race and Party ID,0,White Democrats,20,83,16,1
294,2008,AZ,PARTYWHITE,Vote by Race and Party ID,0,White Independents,22,52,45,3
295,2008,AZ,PARTYWHITE,Vote by Race and Party ID,0,White Republicans,33,6,93,1
296,2008,AZ,PHIL3,Vote by Ideology,0,conservative,36,17,82,1
297,2008,AZ,PHIL3,Vote by Ideology,0,liberal,21,75,24,1
298,2008,AZ,PHIL3,Vote by Ideology,0,moderate,42,52,46,2
299,2008,AZ,QLT08,Which Candidate Quality Mattered Most?,1,Can Bring Change,31,86,13,1
300,2008,AZ,QLT08,Which Candidate Quality Mattered Most?,1,Cares About People,11,63,36,1
301,2008,AZ,QLT08,Which Candidate Quality Mattered Most?,1,Experience,25,7,92,1
302,2008,AZ,QLT08,Which Candidate Quality Mattered Most?,1,Shares My Values,29,31,66,3
303,2008,AZ,RACE,Vote by Race,0,asian,1,,,
304,2008,AZ,RACE,Vote by Race,0,black,4,,,
305,2008,AZ,RACE,Vote by Race,0,latino,16,56,41,3
306,2008,AZ,RACE,Vote by Race,0,other,4,,,
307,2008,AZ,RACE,Vote by Race,0,white,75,40,59,1
308,2008,AZ,REL5,Vote by Religion,0,catholic,24,49,49,2
309,2008,AZ,REL5,Vote by Religion,0,jewish,2,,,
310,2008,AZ,REL5,Vote by Religion,0,none,12,65,32,3
311,2008,AZ,REL5,Vote by Religion,0,other,7,,,
312,2008,AZ,REL5,Vote by Religion,0,protestant,55,35,63,2
313,2008,AZ,SEX,Vote by Sex,0,female,51,45,54,1
314,2008,AZ,SEX,Vote by Sex,0,male,49,45,53,2
315,2008,AZ,SEXBYRACE,Vote by Sex and Race,0,all other races,5,,,
316,2008,AZ,SEXBYRACE,Vote by Sex and Race,0,black men,2,,,
317,2008,AZ,SEXBYRACE,Vote by Sex and Race,0,black women,2,,,
318,2008,AZ,SEXBYRACE,Vote by Sex and Race,0,latino men,7,,,
319,2008,AZ,SEXBYRACE,Vote by Sex and Race,0,latino women,8,51,47,2
320,2008,AZ,SEXBYRACE,Vote by Sex and Race,0,white men,37,39,60,1
321,2008,AZ,SEXBYRACE,Vote by Sex and Race,0,white women,38,41,58,1
322,2008,AZ,TIME08,When Did You Decide Who To Vote For?,0,Before That,63,45,54,1
323,2008,AZ,TIME08,When Did You Decide Who To Vote For?,0,In October,15,49,48,3
324,2008,AZ,TIME08,When Did You Decide Who To Vote For?,0,In September,13,43,55,2
325,2008,AZ,TIME08,When Did You Decide Who To Vote For?,0,Last Three Days,3,,,
326,2008,AZ,TIME08,When Did You Decide Who To Vote For?,0,Last Week,2,,,
327,2008,AZ,TIME08,When Did You Decide Who To Vote For?,0,Today,3,,,
328,2008,AZ,TIME3D08,When Did You Decide Who To Vote For?,0,Earlier Than That,93,46,53,1
329,2008,AZ,TIME3D08,When Did You Decide Who To Vote For?,0,Today/Last Three Days,6,,,
330,2008,AZ,TIME4,When Did You Decide Who To Vote For?,0,Earlier in October,17,49,48,3
331,2008,AZ,TIME4,When Did You Decide Who To Vote For?,0,Earlier Than That,63,45,54,1
332,2008,AZ,TIME4,When Did You Decide Who To Vote For?,0,Sometime in September,13,43,55,2
333,2008,AZ,TIME4,When Did You Decide Who To Vote For?,0,Within Last Week,6,,,
334,2008,AZ,TIMEWK08,When Did You Decide Who To Vote For?,0,Before That,90,46,53,1
335,2008,AZ,TIMEWK08,When Did You Decide Who To Vote For?,0,Within the Last Week,8,41,56,3
336,2008,AZ,WHITEREL,Vote by Religion Among Whites,0,Non-whites,24,62,36,2
337,2008,AZ,WHITEREL,Vote by Religion Among Whites,0,White - No Religion,10,,,
338,2008,AZ,WHITEREL,Vote by Religion Among Whites,0,White - Other Religion,5,,,
339,2008,AZ,WHITEREL,Vote by Religion Among Whites,0,White Catholic,15,42,58,
340,2008,AZ,WHITEREL,Vote by Religion Among Whites,0,White Jewish,2,,,
341,2008,AZ,WHITEREL,Vote by Religion Among Whites,0,White Protestant,44,31,68,1
342,2008,AZ,WHTEVANG,White Evangelical/Born-Again?,0,No,79,52,46,2
343,2008,AZ,WHTEVANG,White Evangelical/Born-Again?,0,Yes,21,20,80,
344,2008,CA,AGE,Vote by Age,0,18-29,20,76,23,1
345,2008,CA,AGE,Vote by Age,0,30-44,28,59,39,2
346,2008,CA,AGE,Vote by Age,0,45-64,36,60,38,2
